Wall time;Step;Value
1736588983.1567178;0;0
1736588983.1567178;100;0,081680872
1736588984.1456172;200;0,019693784
1736588985.3927534;300;0,044527866
1736588986.4437118;400;0,018152999
1736588987.773931;500;0,017489497
1736588988.8659189;600;0,090891957
1736588990.1290677;700;0,02007838
1736588990.960826;800;0,446930587
1736588991.766559;900;0,078960985
1736588993.1788516;1000;0,043823518
1736588994.4059615;1100;0,037479408
1736588995.5439982;1200;0,08661738
1736588996.441816;1300;0,028633121
1736588997.4877696;1400;0,045736738
1736588998.2524672;1500;0,059515797
1736588999.4835851;1600;0,056057654
1736588999.8959613;1700;0,043767177
1736589000.4244456;1800;0,01450596
1736589000.9959633;1900;0,006803241
1736589002.404245;2000;0,008900028
1736589003.2049768;2100;0,026221689
1736589004.4521127;2200;0,044544477
1736589004.9115295;2300;0,016159389
1736589006.130642;2400;0,010251321
1736589006.9814143;2500;0,019041844
1736589007.6580293;2600;0,026971668
1736589008.3876941;2700;0,008388655
1736589009.257489;2800;0,068795107
1736589009.890065;2900;0,007454765
1736589010.6617694;3000;0,084558807
1736589011.3834238;3100;0,027143916
1736589012.4594028;3200;0,01476237
1736589014.1589503;3300;0,040029932
1736589015.2609541;3400;0,031570256
1736589016.1667788;3500;0,037118569
1736589017.0535903;3600;0,020603847
1736589018.0725167;3700;0,022329155
1736589018.9353006;3800;0,002325476
1736589020.5247478;3900;0,007545323
1736589023.6716144;4000;0,028145444
1736589024.475349;4100;0,003198565
1736589025.55633;4200;0,005073282
1736589026.3730738;4300;0,003093007
1736589027.5021043;4400;0,004288593
1736589028.5930958;4500;0,018240951
1736589029.8082016;4600;0,002333319
1736589030.600924;4700;0,00707431
1736589031.428678;4800;0,044859797
1736589032.1733556;4900;0,048409007
1736589033.5596182;5000;0,014606794
1736589034.3693554;5100;0,053560257
1736589035.8006592;5200;0,025919247
1736589037.20194;5300;0,035880044
1736589038.110763;5400;0,02211508
1736589039.378918;5500;0,004709299
1736589040.1616325;5600;0,004786038
1736589040.8872914;5700;0,011806877
1736589042.2020545;5800;0,009941969
1736589044.629265;5900;0,00891318
1736589045.6992428;6000;0,002866831
1736589046.5770397;6100;0,023477258
1736589047.7441027;6200;0,006518234
1736589048.392697;6300;0,001998926
1736589049.242468;6400;0,013044493
1736589050.2664053;6500;0,003655896
1736589051.62764;6600;0,005358967
1736589053.103984;6700;0,007060909
1736589053.870681;6800;0,002065895
1736589055.3009856;6900;0,020432325
1736589055.8294697;7000;0,013604343
1736589056.6201856;7100;0,009240988
1736589057.7662308;7200;0,021706512
1736589059.1875234;7300;0,005632435
1736589060.2995365;7400;0,013334474
1736589061.5416708;7500;0,015183939
1736589062.3884375;7600;0,005055646
1736589063.229204;7700;0,00547816
1736589064.0409431;7800;0,000174646
1736589065.9416745;7900;0,009958713
1736589067.456053;8000;0,003554496
1736589068.420939;8100;0,008563981
1736589069.277716;8200;0,002557963
1736589070.2055662;8300;0,001367002
1736589070.8911808;8400;0,003665022
1736589071.7980177;8500;0,023606321
1736589072.4876354;8600;0,006964604
1736589073.2012854;8700;0,020395452
1736589074.275264;8800;0,005902621
1736589075.4102976;8900;0,009632844
1736589076.4202194;9000;0,000498745
1736589078.212851;9100;0,014733307
1736589079.2658076;9200;0,004612017
1736589080.3127644;9300;0,010584803
1736589081.1485245;9400;0,011465834
1736589082.0313306;9500;0,001547136
1736589083.465638;9600;0,000514754
1736589084.5005758;9700;0,006194606
1736589086.2942111;9800;0,001115393
1736589087.5243287;9900;0,008153556
1736589088.2740152;10000;0,00149337
1736589088.9836583;10100;0,009448217
1736589089.5982184;10200;0,000851343
1736589090.546081;10300;0,002676838
1736589091.344809;10400;0,005604866
1736589092.4778435;10500;0,00451191
1736589093.7239752;10600;0,008951678
1736589094.4045944;10700;0,011870164
1736589095.3274386;10800;0,003511826
1736589096.2122433;10900;0,007409585
1736589097.1741188;11000;0,008560852
1736589098.17603;11100;0,005572811
1736589099.3811276;11200;0,002446085
1736589100.2339041;11300;0,010106207
1736589101.2708511;11400;0,001829125
1736589102.0585654;11500;0,001191684
1736589103.2126157;11600;0,000386291
1736589103.875222;11700;9,34E-05
1736589106.0822303;11800;0,000527331
1736589107.2472908;11900;0,002200627
1736589108.4914315;12000;0,003660606
1736589109.7615879;12100;0,001030472
1736589110.632374;12200;0,001055663
1736589111.3900628;12300;0,001778206
1736589112.5331085;12400;0,005193942
1736589113.829285;12500;0,009185361
1736589114.8552222;12600;0,007313384
1736589116.2695072;12700;0,003665768
1736589117.0282018;12800;0,001592188
1736589117.9160073;12900;0,000902782
1736589118.6636875;13000;0,004542761
1736589119.3773367;13100;0,001768541
1736589120.6214745;13200;0,001016371
1736589121.9436762;13300;0,001864616
1736589122.9555964;13400;0,001252505
1736589124.1576908;13500;0,005779958
1736589124.721206;13600;0,00013464
1736589125.698095;13700;0,000167461
1736589128.1192992;13800;0,007799917
1736589129.2603376;13900;0,001040571
1736589130.16216;14000;0,000631561
1736589131.0950096;14100;0,001525556
1736589132.5583422;14200;0,001780059
1736589133.2920117;14300;0,001104918
1736589134.1347778;14400;0,001750158
1736589135.1136687;14500;0,00365748
1736589136.2396939;14600;0,010986532
1736589137.3547108;14700;0,000884058
1736589139.1333306;14800;0,00524913
1736589140.2913854;14900;0,007181851
1736589141.0340626;15000;0,00477589
1736589142.1520805;15100;0,009561409
1736589143.310135;15200;0,000299967
1736589144.255996;15300;0,000265645
1736589144.9276054;15400;0,012461517
1736589146.4249694;15500;0,001509419
1736589147.518969;15600;0,000456336
1736589149.7950387;15700;0,000814426
1736589150.6478152;15800;0,00335368
1736589151.7718382;15900;0,008316925
1736589152.2763014;16000;0,002100782
1736589153.1100574;16100;0,001486218
1736589153.8927736;16200;0,001560933
1736589154.9337206;16300;0,007305786
1736589156.0287156;16400;0,000691589
1736589156.4120646;16500;0,047204547
1736589157.0046077;16600;0,000941193
1736589158.1996968;16700;0,001594033
1736589159.3457365;16800;0,000651695
1736589160.279586;16900;0,00499753
1736589161.6748574;17000;0,003047191
1736589163.018085;17100;0,003324907
1736589163.9309123;17200;0,001002304
1736589164.559486;17300;0,002100035
1736589165.2561197;17400;0,000514849
1736589166.2950647;17500;0,000722759
1736589167.3640373;17600;0,001346336
1736589169.6841555;17700;0,016311741
1736589171.6579492;17800;0,00322625
1736589173.223379;17900;0,001547095
1736589174.262294;18000;0,003103677
1736589175.0900517;18100;0,001560798
1736589176.273758;18200;0,000471999
1736589176.8983262;18300;0,01001809
1736589178.2655737;18400;0,008099527
1736589179.52572;18500;0,00265851
1736589180.6927822;18600;0,002133461
1736589181.5625746;18700;0,001852083
1736589182.5995185;18800;0,002929357
1736589183.8036153;18900;0,000735545
1736589184.5573049;19000;0,002112557
1736589185.5872397;19100;0,002234405
1736589186.6972504;19200;0,001807972
1736589187.801255;19300;0,002527094
1736589188.7801473;19400;0,000669417
1736589189.6229148;19500;0,002618845
1736589191.8139126;19600;0,00069672
1736589192.5425746;19700;0,001098793
1736589193.5935307;19800;0,001592036
1736589194.555407;19900;0,003121338
1736589195.6894422;20000;0,001666588
1736589196.7714248;20100;0,002148037
1736589197.436032;20200;0,0020884
1736589198.716196;20300;0,001321875
1736589199.68608;20400;0,002530467
1736589200.59691;20500;0,002090767
1736589201.4426787;20600;0,001135464
1736589202.8019168;20700;0,001737274
1736589203.6867228;20800;0,000576923
1736589204.3763523;20900;0,001540535
1736589205.2111106;21000;0,00319491
1736589205.9237602;21100;0,002592965
1736589206.963707;21200;0,001892406
1736589207.5522435;21300;0,000943826
1736589208.4270399;21400;0,000232443
1736589209.74524;21500;4,85E-05
1736589210.9183083;21600;0,000647779
1736589211.7590737;21700;0,001091963
1736589212.7319605;21800;0,009915761
1736589213.9400628;21900;0,001241701
1736589214.9119484;22000;0,000331805
1736589215.7567317;22100;0,001529634
1736589217.2631047;22200;0,007836362
1736589218.4702027;22300;0,000643312
1736589219.16984;22400;0,002475037
1736589219.9355376;22500;0,002090913
1736589220.8043287;22600;0,000829734
1736589221.8032396;22700;0,000780537
1736589222.6790395;22800;0,001667289
1736589224.0763085;22900;0,000775235
1736589226.014076;23000;0,001666959
1736589226.878863;23100;0,000512963
1736589227.9788635;23200;0,000363351
1736589228.8516572;23300;0,000251434
1736589229.777502;23400;0,000176499
1736589230.439103;23500;0,000211072
1736589232.449934;23600;0,0036919
1736589233.8912466;23700;0,000378943
1736589235.2444792;23800;0,002130452
1736589236.3534892;23900;0,000624699
1736589237.3243759;24000;0,001494427
1736589238.4243782;24100;0,001665934
1736589239.6314743;24200;0,000740739
1736589240.8415773;24300;0,006805228
1736589242.0356667;24400;0,003620935
